#Re    B    Pr    Pe    BPe    t    uh_rms    vortz_rms    wrms    tdisp    mdisp    eta (local)    eta (global)    lam wrms    lam tdisp    lam mdisp    lam eta (local)    lam eta (global)    turb wrms    turb tdisp    turb mdisp    turb eta (local)    turb eta (global)    vlam    vturb    lam wrms wght    turb wrms wght    lam wrms eff wght    turb wrms eff wght    trms    lam trms    turb trms    lam trms wght    turb trms wght    lam trms eff wght    turb trms eff wght    bflux    lam bflux    turb bflux    lam bflux wght    turb bflux wght    lam bflux eff wght    turb bflux eff wght    
# Index 000: Re = 600.00, Pe =  60.00, B = 300.00
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    4.8141e+00    1.5012e+00    2.0954e+00    5.6009e-07    2.4416e-14    4.3906e+00    2.0272e-10    1.6683e-11    5.6088e-07    2.4432e-14    4.1270e+00    2.0435e-10    1.7760e-11    5.0886e-07    2.3479e-14    2.0663e+01    4.7047e-12    3.4088e-12    9.8406e-01    1.5944e-02    5.7010e-07    5.5185e-07    3.7977e-07    3.6762e-07    2.8507e-08    2.8481e-08    3.0015e-08    3.0633e-08    2.8259e-08    2.0406e-08    1.8825e-08    1.6245e-14    1.6266e-14    1.4858e-14    1.7485e-14    1.5826e-14    1.1648e-14    1.0542e-14    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    7.9932e+00    2.3717e+00    3.1678e+00    2.0070e-07    2.6959e-14    1.0035e+01    3.8933e-10    8.0594e-12    2.0109e-07    2.6730e-14    9.0817e+00    3.9616e-10    8.8300e-12    1.8915e-07    3.3411e-14    3.6983e+01    6.0394e-12    2.7103e-12    9.6584e-01    3.4158e-02    1.9409e-07    2.0340e-07    8.1836e-08    8.5760e-08    2.4342e-08    2.4277e-08    2.6114e-08    2.4331e-08    2.5569e-08    1.0259e-08    1.0781e-08    5.8601e-15    5.8781e-15    5.3259e-15    4.6742e-15    6.1463e-15    1.9708e-15    2.5915e-15    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    1.0297e+01    2.9056e+00    3.7294e+00    3.7321e-07    2.7405e-13    1.3909e+01    1.5751e-09    5.9110e-11    3.7093e-07    2.7560e-13    1.1814e+01    1.6220e-09    6.9984e-11    4.0907e-07    2.4840e-13    4.8505e+01    4.0991e-11    1.5364e-11    9.4292e-01    5.7078e-02    4.1667e-07    3.9578e-07    1.4340e-07    1.3621e-07    6.5947e-08    6.5801e-08    6.8299e-08    5.3692e-08    6.8829e-08    1.8478e-08    2.3688e-08    4.1713e-14    4.1186e-14    4.9610e-14    2.5333e-14    4.6023e-14    8.7185e-15    1.5839e-14    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    1.2232e+01    3.0563e+00    3.8306e+00    1.6338e-06    4.2295e-12    1.4673e+01    1.4571e-08    8.6475e-10    1.6188e-06    4.1947e-12    1.2333e+01    1.5002e-08    1.0204e-09    1.8655e-06    4.8074e-12    5.3533e+01    7.5640e-10    2.6941e-10    9.4318e-01    5.6815e-02    1.4904e-06    1.6919e-06    4.8765e-07    5.5358e-07    2.4896e-07    2.4817e-07    2.6179e-07    2.5309e-07    2.4285e-07    8.2809e-08    7.9458e-08    1.1920e-12    1.2071e-12    9.0578e-13    8.6914e-13    9.8758e-13    2.8438e-13    3.2313e-13    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    1.4074e+01    3.4278e+00    3.8217e+00    1.6216e-05    1.0511e-09    1.4605e+01    2.3237e-06    2.1591e-07    1.6276e-05    9.3475e-10    1.2177e+01    2.3747e-06    2.3028e-07    1.4856e-05    3.5496e-09    6.6724e+01    4.9934e-07    1.5959e-07    9.5549e-01    4.4511e-02    1.6341e-05    1.7422e-05    4.7673e-06    5.0825e-06    3.4764e-06    3.4669e-06    3.6733e-06    2.6669e-06    3.7389e-06    7.7801e-07    1.0908e-06    4.2021e-10    4.2629e-10    2.5699e-10    3.2562e-10    4.3136e-10    9.4993e-11    1.2584e-10    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    1.5798e+01    3.6353e+00    3.7708e+00    4.0912e-05    6.0815e-09    1.4220e+01    1.3459e-05    1.2831e-06    4.1357e-05    6.2689e-09    1.2352e+01    1.3714e-05    1.5225e-06    2.6747e-05    1.1837e-09    6.3018e+01    1.4692e-07    5.6351e-08    9.6315e-01    3.6850e-02    3.1509e-05    3.8701e-05    8.6674e-06    1.0646e-05    7.2403e-06    7.3257e-06    4.4616e-06    5.3813e-06    6.6830e-06    1.4803e-06    1.8383e-06    1.2009e-09    1.2233e-09    1.5282e-10    4.6214e-10    1.0149e-09    1.2712e-10    2.7917e-10    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    1.7456e+01    4.0299e+00    3.8359e+00    7.4836e-05    1.6757e-08    1.4714e+01    5.9196e-05    3.4167e-06    7.4642e-05    1.6838e-08    1.2268e+01    6.0563e-05    4.1175e-06    7.8861e-05    1.5036e-08    6.6991e+01    1.7133e-06    6.7334e-07    9.5531e-01    4.4692e-02    6.8302e-05    7.5499e-05    1.6949e-05    1.8735e-05    1.3088e-05    1.3136e-05    1.2016e-05    1.3498e-05    1.2320e-05    3.3495e-06    3.0572e-06    2.2329e-09    2.2593e-09    1.5652e-09    1.9814e-09    2.0502e-09    4.9167e-10    5.0876e-10    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    1.9002e+01    4.2499e+00    3.7065e+00    1.4427e-04    7.0349e-08    1.3738e+01    3.8378e-04    1.5362e-05    1.4229e-04    7.0724e-08    1.1234e+01    3.9123e-04    1.8886e-05    1.8786e-04    6.0778e-08    7.7582e+01    6.8473e-06    2.3502e-06    9.6225e-01    3.7748e-02    1.2296e-04    1.6777e-04    2.8933e-05    3.9476e-05    2.5447e-05    2.5586e-05    2.1609e-05    2.4377e-05    2.5051e-05    5.7359e-06    5.8946e-06    7.7765e-09    7.8085e-09    6.9098e-09    6.5617e-09    7.5746e-09    1.5440e-09    1.7823e-09    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    2.0509e+01    4.4013e+00    3.8605e+00    3.0695e-04    2.5096e-07    1.4904e+01    2.4987e-03    5.0511e-05    3.0279e-04    2.5509e-07    1.1927e+01    2.5516e-03    6.4162e-05    3.9170e-04    1.5442e-07    8.4410e+01    1.9828e-05    5.4880e-06    9.5892e-01    4.1084e-02    2.7045e-04    3.5202e-04    6.1447e-05    7.9981e-05    5.1324e-05    5.1679e-05    4.2187e-05    4.7056e-05    5.4445e-05    1.0691e-05    1.2370e-05    3.3369e-08    3.3548e-08    2.8892e-08    3.0006e-08    3.4242e-08    6.8176e-09    7.7800e-09    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    2.1924e+01    4.6402e+00    3.9535e+00    8.5327e-04    2.0300e-06    1.5634e+01    5.5480e-03    3.8938e-04    8.5741e-04    2.0858e-06    1.2287e+01    5.6558e-03    5.0901e-04    7.4002e-04    6.0675e-07    1.0095e+02    6.5506e-05    1.8030e-05    9.6225e-01    3.7750e-02    7.2819e-04    8.0678e-04    1.5693e-04    1.7387e-04    1.6113e-04    1.6338e-04    8.5646e-05    1.5451e-04    1.2594e-04    3.3298e-05    2.7142e-05    3.7173e-07    3.7810e-07    1.2885e-07    2.5909e-07    2.7172e-07    5.5836e-08    5.8559e-08    
