#Re    B    Pr    Pe    BPe    lb    ub    uh_rms    uh_err    vortz_rms    vortz err    wrms    wrms err    tdisp    tdisp_err    mdisp    mdisp_err    eta (local)    eta (local) err    eta (global)    eta (global) err    lam wrms    lam wrms err    lam tdisp    lam tdisp err    lam mdisp    lam mdisp err    lam eta (local)    lam eta (local) err    lam eta (global)    lam eta (global) err    turb wrms    turb wrms err    turb tdisp    turb tdisp err    turb mdisp    turb mdisp err    turb eta (local)    turb eta (local) err    turb eta (global)    turb eta (global) err    vlam avg    vlam err    vturb avg    vturb err    lam wrms wght    lam wrms wght err    turb wrms wght    turb wrms wght err    lam wrms eff wght    lam wrms eff wght err    turb wrms eff wght    turb wrms eff wght err    trms    trms err    lam trms    lam trms err    turb trms    turb trms err    lam trms wght    lam trms wght err    turb trms wght    turb trms wght err    lam trms eff wght    lam trms eff wght err    turb trms eff wght    turb trms eff wght err    bflux    bflux err    lam bflux    lam bflux err    turb bflux    turb bflux err    lam bflux wght    lam bflux wght err    turb bflux wght    turb bflux wght err    lam bflux eff wght    lam bflux eff wght err    turb bflux eff wght    turb bflux eff wght err    
# Index 000: Re = 600.02, Pe =  60.00
6.0002e+02    1.0000e-01    1.0000e-01    6.0002e+01    6.0002e+00    1.5000e+02    3.0000e+02    2.1888e+00    1.3325e-01    1.0728e+01    1.9210e+00    9.5159e-01    1.3558e-01    2.3175e+01    4.5570e+00    3.6287e+02    1.1396e+02    1.7374e-01    2.2206e-02    6.3791e-02    1.3264e-02    8.9611e-01    1.4043e-01    2.3418e+01    4.7432e+00    1.7826e+02    5.6529e+01    2.3524e-01    2.6264e-02    1.2260e-01    2.3264e-02    9.5855e-01    1.3308e-01    2.3154e+01    4.5293e+00    3.8416e+02    1.1723e+02    1.6425e-01    1.9061e-02    6.0030e-02    1.1658e-02    1.1044e-01    2.7152e-02    8.8956e-01    2.7152e-02    8.9630e-01    1.4279e-01    1.0894e+00    1.3913e-01    4.0972e-01    6.3905e-02    4.9781e-01    5.8548e-02    8.7033e-01    8.0498e-02    9.0606e-01    8.6774e-02    8.6597e-01    8.0494e-02    9.1042e-01    8.6502e-02    8.0229e-01    7.4659e-02    4.1792e-01    5.2341e-02    3.6846e-01    4.7465e-02    9.6162e-01    2.0201e-01    9.6586e-01    2.2022e-01    9.6169e-01    1.9936e-01    9.6837e-01    2.2955e-01    9.6164e-01    1.8416e-01    4.4330e-01    1.0868e-01    4.4040e-01    8.8921e-02    
# Index 001: Re = 600.02, Pe =  60.00
6.0002e+02    1.0000e+03    1.0000e-01    6.0002e+01    6.0002e+04    2.7500e+02    4.0000e+02    2.6973e+00    9.0843e-02    1.7990e+00    1.3289e-01    2.3521e-02    8.5862e-03    5.9568e-03    1.2998e-03    3.6084e+02    4.8496e+01    3.1920e-01    1.6787e-02    1.4087e-01    1.6667e-02    2.3448e-02    8.2608e-03    5.9517e-03    1.2892e-03    3.6059e+02    4.8016e+01    3.1921e-01    1.6792e-02    1.4087e-01    1.6663e-02    1.3607e-01    1.9288e-01    5.7824e-02    5.1052e-02    3.2940e+03    2.4872e+03    3.1979e-01    1.8099e-01    2.6543e-01    2.0349e-01    9.9995e-01    1.4210e-04    4.7183e-05    1.4210e-04    2.0805e-02    6.0392e-03    3.1576e-02    3.1630e-02    7.6980e-03    2.1670e-03    1.1681e-02    1.1661e-02    6.5972e-03    7.1522e-04    6.5963e-03    7.1369e-04    1.0230e-02    7.1202e-03    5.5905e-03    7.0627e-04    8.2632e-03    1.2200e-03    2.0694e-03    2.2347e-04    3.0601e-03    4.1251e-04    2.5955e-04    1.8220e-04    2.5616e-04    1.6672e-04    3.0808e-03    5.7372e-03    1.8553e-04    1.2452e-04    4.9933e-04    9.3882e-04    6.8464e-05    4.5557e-05    1.8446e-04    3.4662e-04    
# Index 002: Re = 600.02, Pe =  60.00
6.0002e+02    3.0000e+03    1.0000e-01    6.0002e+01    1.8001e+05    1.8000e+02    3.2000e+02    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    
# Index 003: Re = 600.02, Pe =  60.00
6.0002e+02    4.0000e+02    1.0000e-01    6.0002e+01    2.4001e+04    2.2000e+02    4.5000e+02    2.9018e+00    2.0043e-01    2.8942e+00    9.0265e-01    1.1408e-01    5.5427e-02    2.3728e-02    1.0807e-02    4.0507e+02    6.4414e+01    3.4842e-01    2.0948e-02    1.8249e-01    4.2635e-02    1.0248e-01    4.3453e-02    2.1093e-02    7.7360e-03    3.7856e+02    4.5389e+01    3.4870e-01    2.0909e-02    1.7765e-01    3.8519e-02    3.8922e-01    2.1639e-01    1.6869e-01    9.8509e-02    2.1198e+03    5.4099e+02    3.0229e-01    7.0110e-02    2.2547e-01    7.7654e-02    9.8604e-01    1.0506e-02    1.3955e-02    1.0506e-02    8.8530e-02    3.2451e-02    3.9843e-01    2.7622e-01    3.0393e-02    1.0494e-02    1.3564e-01    9.1590e-02    1.4789e-02    2.3719e-03    1.4428e-02    2.0350e-03    2.7966e-02    8.6479e-03    1.2963e-02    1.6633e-03    2.5874e-02    9.3943e-03    4.4783e-03    5.7781e-04    8.8698e-03    3.0394e-03    3.9786e-03    3.4698e-03    3.1728e-03    2.4691e-03    1.8055e-02    1.4486e-02    2.3310e-03    1.6524e-03    1.9216e-02    1.7943e-02    7.9381e-04    5.4238e-04    6.5196e-03    5.9997e-03    
# Index 004: Re = 600.02, Pe =  60.00
6.0002e+02    6.0000e+03    1.0000e-01    6.0002e+01    3.6001e+05    5.0000e+02    9.0000e+02    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    



# Index 005: Re = 600.02, Pe =  30.00
6.0002e+02    1.0000e+01    5.0003e-02    3.0003e+01    3.0003e+02    2.6000e+02    3.0000e+02    2.0522e+00    1.2349e-01    7.2517e+00    8.2532e-01    5.6048e-01    5.8273e-02    8.8195e-01    1.4084e-01    1.9764e+02    4.0874e+01    5.5762e-01    1.2653e-02    4.7336e-01    1.6503e-02    5.2249e-01    5.2613e-02    8.1984e-01    1.2718e-01    1.0209e+02    1.7364e+01    6.3278e-01    1.2088e-02    6.1660e-01    1.5327e-02    5.8499e-01    6.0852e-02    9.2432e-01    1.4828e-01    2.6265e+02    5.0337e+01    4.9902e-01    1.0195e-02    4.1416e-01    1.2633e-02    4.0892e-01    2.4799e-02    5.9108e-01    2.4799e-02    5.1358e-01    5.2058e-02    6.9402e-01    9.1962e-02    2.5013e-01    1.9339e-02    3.3731e-01    3.1032e-02    1.9078e-01    1.7309e-02    1.9002e-01    1.7783e-02    1.9133e-01    1.7110e-02    1.8884e-01    1.8102e-02    1.9269e-01    1.9101e-02    9.1939e-02    5.8285e-03    9.3837e-02    6.7677e-03    1.1927e-01    2.3383e-02    1.0985e-01    2.0280e-02    1.2525e-01    2.5136e-02    1.0689e-01    1.9147e-02    1.4969e-01    4.0847e-02    5.1833e-02    7.1225e-03    7.2364e-02    1.6519e-02    
# Index 006: Re = 600.02, Pe =  30.00
