#Re    B    Pr    Pe    BPe    lb    ub    uh_rms    uh_err    vortz_rms    vortz err    wrms    wrms err    tdisp    tdisp_err    mdisp    mdisp_err    eta (local)    eta (local) err    eta (global)    eta (global) err    lam wrms    lam wrms err    lam tdisp    lam tdisp err    lam mdisp    lam mdisp err    lam eta (local)    lam eta (local) err    lam eta (global)    lam eta (global) err    turb wrms    turb wrms err    turb tdisp    turb tdisp err    turb mdisp    turb mdisp err    turb eta (local)    turb eta (local) err    turb eta (global)    turb eta (global) err    vlam avg    vlam err    vturb avg    vturb err    lam wrms wght    lam wrms wght err    turb wrms wght    turb wrms wght err    lam wrms eff wght    lam wrms eff wght err    turb wrms eff wght    turb wrms eff wght err    trms    trms err    lam trms    lam trms err    turb trms    turb trms err    lam trms wght    lam trms wght err    turb trms wght    turb trms wght err    lam trms eff wght    lam trms eff wght err    turb trms eff wght    turb trms eff wght err    bflux    bflux err    lam bflux    lam bflux err    turb bflux    turb bflux err    lam bflux wght    lam bflux wght err    turb bflux wght    turb bflux wght err    lam bflux eff wght    lam bflux eff wght err    turb bflux eff wght    turb bflux eff wght err    
# Index 000: Re = 600.00, Pe =  60.00
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    4.0000e+01    8.0000e+01    1.8549e+00    1.2348e-01    2.0932e+00    1.5546e-01    8.0480e-02    1.2329e-02    2.7505e-02    4.6032e-03    1.8458e+02    3.4347e+01    4.5544e-01    2.0900e-02    3.1066e-01    3.2458e-02    7.9617e-02    1.1520e-02    2.7078e-02    4.3942e-03    1.8208e+02    3.3129e+01    4.5557e-01    2.1095e-02    3.1024e-01    3.2916e-02    1.2937e-01    5.9450e-02    6.2826e-02    1.9647e-02    3.7489e+02    1.3741e+02    4.4872e-01    3.2012e-02    3.4138e-01    5.3823e-02    9.8773e-01    4.7851e-03    1.2274e-02    4.7851e-03    7.6197e-02    1.0628e-02    1.0325e-01    3.5396e-02    4.0974e-02    3.9741e-03    5.5109e-02    1.6383e-02    1.9283e-02    1.7807e-03    1.9212e-02    1.7593e-03    2.3737e-02    3.5554e-03    1.8150e-02    1.7216e-03    2.1686e-02    2.3594e-03    9.7945e-03    8.0113e-04    1.1689e-02    9.8890e-04    1.9500e-03    5.0451e-04    1.9023e-03    4.6059e-04    4.1027e-03    2.2892e-03    1.6748e-03    4.1710e-04    3.0862e-03    1.5946e-03    8.9704e-04    1.8153e-04    1.6364e-03    7.5725e-04    
# Index 001: Re = 600.00, Pe =  60.00
6.0000e+02    1.8000e+02    1.0000e-01    6.0000e+01    1.0800e+04    4.0000e+01    9.0000e+01    1.8585e+00    1.6671e-01    2.3559e+00    4.8054e-01    1.3919e-01    3.7810e-02    5.2882e-02    1.7686e-02    1.9016e+02    5.0563e+01    4.5924e-01    2.0423e-02    3.3086e-01    3.4822e-02    1.3295e-01    3.1455e-02    4.9872e-02    1.4179e-02    1.7906e+02    3.9791e+01    4.6020e-01    2.0478e-02    3.3171e-01    3.4874e-02    2.4706e-01    9.9023e-02    1.2699e-01    6.3251e-02    4.7204e+02    1.9149e+02    4.3047e-01    2.7254e-02    3.2188e-01    4.2276e-02    9.6773e-01    1.2830e-02    3.2270e-02    1.2830e-02    1.2523e-01    2.6333e-02    2.4458e-01    1.2702e-01    6.6790e-02    8.1773e-03    1.2786e-01    5.3705e-02    2.7875e-02    4.2647e-03    2.7533e-02    3.8870e-03    3.5286e-02    7.7732e-03    2.6739e-02    3.6540e-03    3.3041e-02    8.2512e-03    1.4350e-02    9.2351e-04    1.7582e-02    2.5623e-03    5.4363e-03    3.0938e-03    4.9029e-03    2.4134e-03    1.2634e-02    8.1928e-03    4.3648e-03    2.0238e-03    1.2593e-02    1.0330e-02    2.2872e-03    7.7428e-04    6.4379e-03    4.3674e-03    
# Index 002: Re = 600.00, Pe =  60.00
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    4.5000e+01    1.6000e+02    2.2046e+00    6.7250e-02    2.3929e+00    3.0466e-01    1.8994e-01    2.2808e-02    8.2032e-02    1.7524e-02    1.4582e+02    1.8444e+01    4.6493e-01    1.6539e-02    3.5703e-01    2.8786e-02    1.8344e-01    1.9936e-02    7.7476e-02    1.5200e-02    1.3473e+02    1.3923e+01    4.6736e-01    1.7063e-02    3.6232e-01    3.0092e-02    2.9554e-01    4.3821e-02    1.7717e-01    4.1098e-02    3.8386e+02    4.7242e+01    4.0808e-01    2.1009e-02    3.1284e-01    3.4416e-02    9.5690e-01    1.5349e-02    4.3099e-02    1.5349e-02    1.7663e-01    1.9210e-02    2.9158e-01    6.2398e-02    8.0011e-02    7.2968e-03    1.3196e-01    2.6527e-02    3.8364e-02    3.4585e-03    3.8007e-02    3.3357e-03    4.5257e-02    4.4977e-03    3.7244e-02    3.2978e-03    4.3558e-02    4.9307e-03    1.6872e-02    1.1200e-03    1.9731e-02    1.8942e-03    8.8895e-03    2.0849e-03    8.3090e-03    1.7863e-03    1.6974e-02    4.5640e-03    7.6470e-03    1.6018e-03    1.6906e-02    5.8663e-03    3.4553e-03    6.5297e-04    7.6347e-03    2.5438e-03    
# Index 003: Re = 600.00, Pe =  60.00
6.0000e+02    3.0000e+01    1.0000e-01    6.0000e+01    1.8000e+03    3.5000e+01    8.0000e+01    1.7157e+00    6.7789e-02    3.9575e+00    4.7203e-01    3.5172e-01    3.8292e-02    3.9206e-01    6.6635e-02    1.0762e+02    1.5863e+01    5.6998e-01    9.9278e-03    5.2104e-01    1.5961e-02    3.2796e-01    3.2839e-02    3.5405e-01    5.5566e-02    7.5060e+01    7.5102e+00    5.9900e-01    1.2435e-02    5.8373e-01    2.1201e-02    4.0049e-01    4.4047e-02    4.7723e-01    8.4519e-02    1.8148e+02    2.5277e+01    4.9612e-01    1.1495e-02    4.3936e-01    1.7240e-02    6.9913e-01    3.6578e-02    3.0087e-01    3.6578e-02    3.2096e-01    3.1958e-02    4.8335e-01    6.7757e-02    1.8700e-01    1.6587e-02    2.8178e-01    3.9049e-02    9.7619e-02    7.0262e-03    9.5694e-02    6.7362e-03    1.0192e-01    7.4711e-03    9.4774e-02    6.3525e-03    1.0524e-01    8.5292e-03    5.5259e-02    3.3561e-03    6.1337e-02    4.3862e-03    3.9187e-02    7.0040e-03    3.5334e-02    5.9950e-03    4.6745e-02    8.4235e-03    3.4024e-02    5.4945e-03    5.8780e-02    1.2810e-02    1.9801e-02    2.9342e-03    3.4212e-02    7.2070e-03    
# Index 004: Re = 600.00, Pe =  60.00
6.0000e+02    3.0000e+00    1.0000e-01    6.0000e+01    1.8000e+02    5.5000e+01    1.1000e+02    1.8747e+00    1.7799e-01    7.0216e+00    1.0152e+00    6.0159e-01    6.3706e-02    3.5792e+00    5.9000e-01    1.6645e+02    4.7956e+01    4.8339e-01    1.4640e-02    3.9807e-01    2.8956e-02    5.4401e-01    5.2603e-02    3.4997e+00    5.2512e-01    8.2940e+01    1.7752e+01    5.6591e-01    1.2476e-02    5.6104e-01    2.2453e-02    6.2693e-01    6.7365e-02    3.6143e+00    6.2319e-01    2.0531e+02    5.8706e+01    4.3864e-01    1.2574e-02    3.5087e-01    2.5661e-02    3.2260e-01    2.5899e-02    6.7740e-01    2.5899e-02    5.3902e-01    5.1251e-02    7.9440e-01    1.3570e-01    2.8888e-01    2.7669e-02    4.2446e-01    6.0863e-02    2.9838e-01    1.8852e-02    3.0059e-01    1.9212e-02    2.9731e-01    1.8996e-02    3.0123e-01    1.9888e-02    2.9975e-01    2.4969e-02    1.6184e-01    1.5985e-02    1.6092e-01    1.6363e-02    2.0753e-01    3.5709e-02    1.9029e-01    2.9324e-02    2.1510e-01    3.8379e-02    1.8953e-01    2.9324e-02    2.6990e-01    8.6689e-02    1.0129e-01    1.3565e-02    1.4359e-01    3.8869e-02    
# Index 005: Re = 600.00, Pe =  60.00
